name,neighborhood,type,year built,year demolished,lat,lon,cause,replacement,source ,Description/Comments,Contributor
Riverview park,Roscoe Village,Entertainment,1904,1967,41.9403,-87.6688,Fire,Riverview Plaza Shopping Center,https://disappointedtourist.org/riverview/,"""Riverview Amusement Park in Chicago which, at the time, housed the largest downhill roller coaster in the world.""",Jade
The Hyde Park Hotel,Hyde Park,Hospitality,1888,1962,41.8020411,-87.5892885,Private Development,City Hyde Park Apartments,https://www.hpherald.com/evening_digest/lost-hyde-park-hotels-resorts-and-entertainment-venues/article_bc993432-0cda-11ec-ba33-0fb38d651594.html,"""Vitality is what defined the Hyde Park Hotel. The building had been constructed in several stages for Paul Cornell by Starrett & Fuller. The first section of the hotel dates to 1888; it was a pressed brick and stone building, 80-feet-by-85-feet, rising four stories in height. Always with an eye toward the future, Cornell had the walls built strong enough to accommodate additional stories. """,Jade
Chicago Stadium,Near West Side,Entertainment,1929,1995,41.881667,-87.672778,Private Development,parking lot for the United Center,https://disappointedtourist.org/chicago-stadium/,"""When the Chicago Stadium was built in 1929, it it was the largest indoor arena in the world. It was the home of the NHL Chicago Blackhawks and the NBA’s Chicago Bulls. It was nicknamed the “Madhouse on Madison”, and a feature during events was the playing of the largest Barton Pipe organ ever built. It also hosted five United States presidential nominating conventions. The stadium was built by Paddy Harmon, a promoter, who sank his entire fortune into the project, only to lose control to the stadium shareholders. After exiting receivership in 1935, the Stadium was owned by the Norris and Wirtz families until its closure in 1994 and demolition in 1995. It was replaced by the United Center.""",Jade
Mecca Flats,Bronzeville,Hospitality,1891,1952,41.8332,-87.6272,Urban renewal,Mies van der Rohe’s Crown Hall,"https://disappointedtourist.org/mecca-flats/
https://buildinghistory.iit.edu/buildings/mecca","""Originally constructed as a hotel for the World's Columbian Exposition of 1893, the 96-unit Mecca building became an apartment building after the fair. The building was acquired by Illinois Tech around 1941, and was demolished in 1952 to make way for the construction of S.R. Crown Hall.""",Jade
Gerri’s Palm Tavern,Bronzeville,Hospitality,1933,2004,41.809622,-87.614396,Private Development,Gallery Guichard Great Migration Sculpture Garden,"https://disappointedtourist.org/palm-tavern/
https://mascontext.com/observations/what-happened-to-gerris-palm-tavern","""The city of Chicago filed eminent domain proceedings against the owner. The tavern was a center of Black life and culture for decades. It’s my assertion that this act of wanton destruction is perhaps the greatest cultural loss Chicago has seen in decades, made worse by the fact that the city actively pursued that destruction. Mike M""",Jade
Prentice Women’s Hospital,Streeterville,Healthcare,1972,2014,41.89542,-87.61887,Private Development,Louis A. Simpson and Kimberly K. Querrey Biomedical Research Center,https://disappointedtourist.org/prentice-womens-hospital/,"The Prentice women's hospital relocated to a new, state-of-the-art facility at 250 East Superior Street. The Chicago Landmarks Commission voted against designating the building as a landmark and Northwestern demolished the old hospital",Jade
Kraft building,Streeterville,Commercial,1938,2003,41.891636,-87.6150334,Private Development,a park and two condos,https://www.chicagotribune.com/2002/09/11/condos-park-set-to-replace-kraft-building/,"""The historic Kraft building, long bereft of its name-giving company and many of its historic feattures, is expected to fall to the wrecking ball in the next few weeks to make way for a park and two condominium buildings.""",
The Arcade,Pullman,Mixed-Use,1882,1926,41.69145,-87.60905,Industrial Decline,Pullman Exhibit Hall ,https://disappointedtourist.org/pullman-arcade/,"The arcade, which opened in 1882 was intended as one of the social and economic cornerstones of the town.",Jade
"United States Custom House, Court House, and Post Office",the Loop,Civic Center,1880,1896,41.879191,-87.629085,Executive/Legislative Action,Chicago Federal Building,"https://en.wikipedia.org/wiki/United_States_Custom_House,_Court_House,_and_Post_Office_(Chicago,_1880)
","This federal building was poorly planned and poorly built,[1] and by the 1890s was considered dangerous and too small.",Jade
Chicago Federal Building,the Loop,Civic Center,1898,1965,41.879191,-87.629085,Executive/Legislative Action,Kluczynski Federal Building,https://disappointedtourist.org/chicago-federal-building/,"housed the Midwest's federal courts, main post office, and other government bureaus",Jade
